"elevation","species","family","gen.restr","body_mass","mito"
"L","widow","Lib","restricted",0.3326,4741.75166666667
"H","4 spotted","Lib","generalist",0.3339,14828.1363333333
"H","4 spotted","Lib","generalist",0.4818,29238.9806666667
"L","widow","Lib","restricted",0.4033,8951.46233333333
"L","widow","Lib","restricted",0.3773,9537.43066666667
"H","paddle tail","Aesh","generalist",0.5897,8057.90633333333
"L","green darner","Aesh","restricted",0.8553,5814.574
"H","4 spotted","Lib","generalist",0.2764,15760.0506666667
"H","paddle tail","Aesh","generalist",0.5798,9623.538
"L","4 spotted","Lib","generalist",0.2755,8098.61366666667
"L","4 spotted","Lib","generalist",0.3109,7077.929
"L","widow","Lib","restricted",0.312,18839.1613333333
"L","4 spotted","Lib","generalist",0.2847,16629.4566666667
"L","paddle tail","Aesh","generalist",0.3783,6883.21433333333
"L","green darner","Aesh","restricted",1.0091,4693.684
"L","green darner","Aesh","restricted",0.8592,12034.095
"L","4 spotted","Lib","generalist",0.2979,18128.6516666667
"L","4 spotted","Lib","generalist",0.3016,19240.6243333333
"H","4 spotted","Lib","generalist",0.3389,17424.5556666667
"H","4 spotted","Lib","generalist",0.2771,17264.6146666667
"H","paddle tail","Aesh","generalist",0.6633,18256.699
"H","paddle tail","Aesh","generalist",0.6259,13811.3873333333
"L","paddle tail","Aesh","generalist",0.6002,17974.5866666667
"L","green darner","Aesh","restricted",0.7228,10339.4466666667
"L","widow","Lib","restricted",0.377,8055.28333333333
"H","paddle tail","Aesh","generalist",0.5591,26572.7863333333
"H","4 spotted","Lib","generalist",0.3017,5537.94766666667
"L","paddle tail","Aesh","generalist",0.6866,16654.856
"L","paddle tail","Aesh","generalist",0.6276,11501.735
