"elevation","gen.restr","species","family","body_mass","diam"
"L","restricted","widow","Lib",0.3326,0.546
"H","generalist","4 spotted","Lib",0.3339,0.595
"H","generalist","4 spotted","Lib",0.4818,0.561
"L","restricted","widow","Lib",0.4033,0.539
"L","restricted","widow","Lib",0.3773,0.561
"H","generalist","paddle tail","Aesh",0.5897,0.597
"L","restricted","green darner","Aesh",0.8553,0.578
"H","generalist","4 spotted","Lib",0.2764,0.587
"H","generalist","paddle tail","Aesh",0.5798,0.615
"L","generalist","4 spotted","Lib",0.2755,0.554
"L","generalist","4 spotted","Lib",0.3109,0.547
"L","restricted","widow","Lib",0.312,0.545
"L","generalist","4 spotted","Lib",0.2847,0.583
"L","generalist","paddle tail","Aesh",0.3783,0.571
"L","restricted","green darner","Aesh",1.0091,0.544
"L","restricted","green darner","Aesh",0.8592,0.577
"L","generalist","4 spotted","Lib",0.2979,0.568
"L","generalist","4 spotted","Lib",0.3016,0.573
"H","generalist","4 spotted","Lib",0.3389,0.573
"H","generalist","4 spotted","Lib",0.2771,0.53
"H","generalist","paddle tail","Aesh",0.6633,0.616
"H","generalist","paddle tail","Aesh",0.6259,0.589
"L","generalist","paddle tail","Aesh",0.6002,0.548
"L","restricted","green darner","Aesh",0.7228,0.568
"L","restricted","widow","Lib",0.377,0.579
"H","generalist","paddle tail","Aesh",0.5591,0.582
"H","generalist","4 spotted","Lib",0.3017,0.576
"L","generalist","paddle tail","Aesh",0.6866,0.551
"L","generalist","paddle tail","Aesh",0.6276,0.571
